IDU,Inf,Nome,Clube,Posição,Melhor Papel,Idade,Jogos,Gls,xG,xG/90,Remt/90,Remt/90,% Remates,Ast,xA,xA/90,Ps C/90,Passes Pr/90,PC/90,% Passe,Sof/90,xGP/90,% Df,Crz Con/90,Crz T/90,Fnt/90,Cab Dec/90,Des Dec/90,Des/90,M Des,Pres C/90,Poss Con/90,Cl Med,Valor Estimado,Capacidade,Pé Esquerdo,Pé Direito,Nac,2ª Nac,Altura,Personalidade,Valor,Preço Exigido,TSB,Soc,Acl,Agi,Agr,Aer,Ant,AF,Bra,Cab,Cnt,Cmd,Cmp,Com,Cnc,Cruz,Decis,Des,Det,Eql,Exc,Fnl,Fnt,For,Imp,Imp,In Tr,Jg Mãos,Lan,LnçL,Lid,Liv,Mar,Pen,Pas,Pont,Pos,Pri,Ref,Rem Lo,Res,SB,Téc,Tr Eq,1x1,Vel,Vis
19306946,Prt,- -,-,,Construtor de Jogo Avançado,23,16 (21),3,"1,38","0,07","0,69","0,32",46%,3,"3,41","0,18","48,29","5,10","1,22",82%,-,-,-,"0,11","0,85","0,90","0,11","0,05","2,07",81%,"4,20","11,10",6.77,"1,6M R$ - 29M R$",,Muito Forte,Fraco,BRA,,175 cm,Equilibrado,-,-,3,2,13,13,9,2,10,12,9,10,13,2,13,2,12,12,13,10,11,11,3,11,14,10,13,10,11,1,2,4,14,13,12,8,14,3,12,13,1,13,13,13,13,13,1,14,15
19290880,,- -,-,,Extremo,24,31 (3),8,"7,75","0,32","2,82","1,33",47%,2,"2,97","0,12","26,46","2,90","1,66",82%,-,-,-,"0,58","4,48","3,32","0,25","0,00","2,61",86%,"4,19","5,35",7.16,500m R$ - 26M R$,,Razoável,Muito Forte,BRA,,177 cm,Bastante Determinado,-,-,3-6,1-2,14,12,6,2-5,11-13,9,8,11,7-9,1-2,9,2-4,11-13,12,14,5-8,17,16,1-2,16,15,7,12,7,11,1-3,3-5,5-7,4,9-12,4-6,8,16,1-2,9-12,16,1-2,11,8,14,13,8,1-2,13,13
14211804,,- -,-,,Extremo,21,28 (1),3,"2,21","0,09","1,02","0,27",27%,1,"2,02","0,08","24,83","1,72","1,13",82%,-,-,-,"0,62","2,85","3,16","0,00","0,00","1,95",78%,"4,02","5,31",6.98,950m R$ - 24M R$,,Fraco,Muito Forte,ARG,,176 cm,Equilibrado,-,-,3,3,14,13,9,3,13,12,12,10,11,1,9,2,8,13,7,5,6,10,3,11,14,13,11,8,9,3,2,5,4,9,4,12,10,2,10,12,1,7,15,14,12,10,1,15,11
43347677,,- -,-,,Extremo invertido,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15M R$ - 29M R$,,Razoável,Muito Forte,ITA,,182 cm,Bastante Profissional,-,-,2,3,13,12,10,3,11,10,13,12,6,3,11,1,12,9,10,9,13,11,3,12,13,12,8,10,10,2,1,5,10,9,6,10,13,2,11,12,1,12,12,13,12,13,3,12,13
92097814,Emp,- -,-,,Extremo invertido,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"260m R$ - 2,75M R$",,Razoável,Muito Forte,GER,,184 cm,Bastante Profissional,-,-,2-4,1-2,11,9-11,12,1-2,9-11,13-16,12-14,8,7-10,2-4,10-12,1-3,8-11,12,11,5-7,13,12-14,1-2,12,12,11,9,12,12,2-5,1-2,8-10,6-9,7-9,4-7,10,11,1-3,6-8,11,3-5,9,11,12,13,10-12,1-3,12,10
19350770,,- -,-,,Construtor de Jogo Avançado,23,36 (7),6,"5,01","0,14","1,14","0,57",50%,2,"4,48","0,13","38,67","2,73","0,99",85%,-,-,-,"0,09","0,77","1,68","0,03","0,00","2,02",89%,"4,85","11,64",6.74,240m R$ - 29M R$,,Muito Forte,Bastante Forte,BRA,,172 cm,Equilibrado,-,-,1-2,2-5,13,14,10,1-3,12-14,14,11,7,11-13,2-5,14,1-3,11-13,11,11-14,11,12,12,3-5,12,13,8,14,7,11,1-2,1-2,6-8,5,9-11,12-14,9-11,13,3-5,10,13,2-4,11,13,14,14,13,1-3,13,13
76047118,,- -,-,,Médio Ofensivo,25,42 (3),3,"7,96","0,22","2,01","0,76",38%,4,"6,08","0,17","26,26","1,67","1,44",84%,-,-,-,"0,20","1,19","1,72","0,00","0,00","1,27",60%,"4,24","12,00",6.84,"2,1M R$ - 21M R$",,Bastante Forte,Muito Forte,COL,,170 cm,,-,-,1-3,2-6,12,11-14,6-10,1-2,10-13,10-14,9-12,9,14-17,2-6,10-13,1-3,13-16,11-15,11-15,5-9,9-12,10-13,1-4,12,11-14,11,13-16,8,11-15,1-3,1-2,2-5,9-13,12-15,8-11,9-12,13,1-4,7-10,14,2-5,12-16,11-15,12-15,13-17,9-13,2-5,12,11-15
18107460,,- -,-,,Extremo,25,0 (6),0,"0,23","0,10","1,77","0,89",50%,0,"0,00","0,00","21,28","0,44","0,44",87%,-,-,-,"0,00","0,44","1,33","0,44","0,00","0,89",100%,"1,77","0,44",6.56,"550m R$ - 5,5M R$",,Muito Forte,Fraco,CAN,FRA,185 cm,,-,-,2-5,1-4,15,12-16,14-18,2-5,6-10,9-13,9-12,10,7-10,1-3,6-9,1-4,7-10,10-14,5-9,4-7,12-15,9-12,2-5,8,11-15,12,10-13,15,10-14,1-2,1-2,8-11,11-15,2-5,4-7,10-14,9,1-5,2-5,11,1-4,7-11,8-12,7-11,9-13,11-14,1-3,15,6-9
2000164850,,- -,-,,Extremo,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Desconhecido,,-,-,SCO,,182 cm,,-,-,-,-,10-16,-,-,-,-,-,-,3-13,-,-,-,-,-,-,-,-,-,-,-,1-10,13-19,10-18,-,2-10,5-13,-,-,-,-,-,-,-,7-13,-,-,13-20,-,1-9,-,10-16,5-13,-,-,13-20,11-20
19335634,,- -,-,,Extremo invertido,25,12 (1),2,"1,02","0,09","0,71","0,44",63%,0,"1,30","0,12","25,68","1,87","1,69",88%,-,-,-,"0,36","3,20","2,93","0,09","0,09","2,58",91%,"4,18","4,00",6.91,"3,5M R$ - 48M R$",,Bastante Forte,Muito Forte,BRA,,184 cm,Bastante Ambicioso,-,-,1-2,1-3,12,11,11,1-2,11-13,14,9,9,8-10,1-4,12,1-2,11-13,10,12,6-9,11,14,3-5,6,13,13,12,12,13,3-5,1-2,3-5,6,7-9,6-8,10,12,1-3,6-8,13,1-3,9,13,12,13,12,1-3,13,10
2000035821,Prt,- -,-,,Extremo,22,19 (12),3,"1,84","0,10","0,60","0,16",27%,6,"5,71","0,31","22,64","2,58","2,03",78%,-,-,-,"1,04","5,88","2,80","0,11","0,00","2,47",78%,"4,84","6,92",7.05,13M R$ - 28M R$,,Muito Forte,Fraco,ARG,,175 cm,,-,-,2-5,1-3,12,12-16,11-14,1-4,14-18,18-20,9-12,10,9-12,1-4,13-17,2-6,8-11,12-15,7-11,8-11,9-13,6-9,1-2,8-11,11-15,7,9-12,6,10-14,4-7,1-5,6-10,13-16,9-12,7-10,8-12,14-17,1-3,12-15,15,1-4,10-14,8-12,10-14,10-14,10-13,1-3,13,13-16
27118876,Lst,- -,-,,Construtor de Jogo Avançado,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,400m R$,,-,-,DEN,,178 cm,,-,395m R$,-,-,10-18,-,8-16,-,-,-,-,4-10,-,-,-,-,-,-,-,3-9,-,-,-,-,-,7-12,7-15,4-12,6-11,-,-,-,6-14,-,-,-,11-19,-,-,11-16,-,9-14,9-14,-,10-15,8-14,-,-,10-16
2000086809,,- -,-,,Extremo invertido,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Desconhecido,,-,-,ENG,,180 cm,,-,-,-,-,12-18,-,-,-,-,-,-,1-4,-,-,-,-,-,-,-,-,-,-,-,8-17,7-16,2-10,-,1-7,10-17,-,-,-,-,-,-,-,8-14,-,-,8-16,-,11-18,-,4-13,13-20,-,-,6-13,5-12
2000006257,Les,- -,-,,Extremo,22,44 (4),5,"8,17","0,19","1,95","0,64",33%,3,"3,93","0,09","31,22","1,77","0,89",82%,-,-,-,"0,94","6,50","3,65","0,05","0,00","1,88",82%,"4,00","3,88",7.07,"6,5M R$ - 14M R$",,Fraco,Muito Forte,COL,,171 cm,,-,-,1-4,2-5,13,12-15,7-10,1-3,12-15,9-12,10-14,7,12-16,1-4,8-12,1-4,10-14,9-12,9-12,4-7,7-11,8-12,2-6,9-13,14-17,10,12-16,5,11-14,1-2,1-2,1-5,8-11,8-12,4-8,7-10,8-11,2-5,5-9,11,2-6,9-12,13-16,12-15,12-15,10-13,1-4,13,7-10
78094523,,- -,-,,Extremo,25,8,2,"1,13","0,18","1,44","0,80",56%,0,"1,34","0,21","21,38","1,12","1,44",85%,-,-,-,"0,32","2,71","1,60","0,16","0,00","1,60",91%,"2,71","3,03",6.76,35m R$ - 350m R$,,Muito Forte,Fraco,URU,,179 cm,,-,-,1-5,1-3,15,11-14,4-8,1-4,9-12,10-14,8-11,13,10-14,1-3,7-10,1-4,5-9,12-16,7-10,4-8,12-15,12-15,1-3,11-14,10-13,8-11,9-13,9,7-10,1-5,1-4,10-13,9-13,13-16,4-8,4-7,10-14,1,9-12,11-14,1-4,7-10,10-13,8-11,11-14,10-14,1-2,10-14,9-13
14184893,,- -,-,,Extremo,22,27 (4),1,"2,56","0,10","0,90","0,12",13%,0,"1,22","0,05","31,83","3,86","2,03",80%,-,-,-,"0,31","2,61","2,18","0,08","0,04","2,18",86%,"3,78","6,27",6.86,24M R$ - 43M R$,,Bastante Forte,Muito Forte,ARG,,174 cm,Equilibrado,-,-,3,2,13,14,6,1,9,12,7,8,11,1,11,3,12,10,11,6,4,12,3,11,13,9,13,10,13,1,2,11,8,11,6,10,13,1,7,12,2,11,13,11,13,11,4,14,12
96161950,,- -,-,,Médio Centro,19,4 (1),0,"0,33","0,10","0,92","0,31",33%,0,"0,47","0,14","43,31","3,99","1,54",81%,-,-,-,"0,00","0,61","0,31","0,00","0,00","1,84",86%,"3,38","11,37",6.65,Desconhecido,,-,-,POL,,178 cm,,-,-,-,-,-,-,5-13,-,-,-,-,1-9,-,-,-,-,-,-,-,3-12,-,-,-,-,-,3-10,13-20,5-12,9-18,-,-,-,-,-,-,-,8-16,-,-,6-13,-,11-20,9-18,-,10-19,2-11,-,-,7-16
78087721,Ped,- -,-,,Extremo invertido,25,1 (4),1,"0,83","0,47","2,83","2,26",80%,1,"0,31","0,18","33,96","1,13","1,13",91%,-,-,-,"0,00","2,26","3,40","0,00","0,00","1,70",100%,"3,96","3,40",7.15,300m R$,,Muito Forte,Razoável,BRA,,175 cm,Equilibrado,-,305m R$,2-4,1-3,16,15,14,2-4,7-9,15,5,7,9-11,1-2,9,1-4,4-6,13,8,3-5,14,8,1,12,15,5,15,7,7,2-4,1-4,6-9,7,12-14,2-4,9,11,2-4,4-6,15,1-2,15,11,11,15,8,1-2,11,10
28127273,,- -,-,,Extremo,20,0 (7),1,"0,52","0,53","3,07","2,05",67%,1,"0,12","0,12","29,66","0,00","1,02",83%,-,-,-,"1,02","13,30","4,09","0,00","0,00","3,07",100%,"3,07","6,14",6.93,Desconhecido,,-,-,ENG,JAM,178 cm,,-,-,-,-,9-16,-,-,-,-,-,-,1-7,-,-,-,-,-,-,-,-,-,-,-,7-15,14-20,1-10,-,6-15,10-16,-,-,-,-,-,-,-,3-10,-,-,5-14,-,8-14,-,10-17,10-16,-,-,12-18,5-11
19408285,Les,- -,-,,Extremo,24,36 (9),0,"1,64","0,04","0,80","0,14",17%,7,"5,32","0,15","45,89","6,36","2,47",86%,-,-,-,"0,47","2,80","2,08","0,03","0,16","2,03",87%,"3,07","10,58",7.02,21M R$,,Muito Forte,Fraco,BRA,,176 cm,Equilibrado,-,-,1,3,13,12,11,2,11,12,11,8,12,1,12,2,12,12,12,10,13,12,3,14,14,11,13,8,13,1,1,11,9,14,10,12,14,1,10,13,1,14,13,13,15,13,3,12,12
28127066,,- -,-,,Extremo invertido,21,9,1,"1,75","0,24","1,75","0,40",23%,0,"0,52","0,07","24,62","2,15","1,21",76%,-,-,-,"0,94","5,38","3,23","0,13","0,00","2,56",76%,"5,11","7,26",6.82,Desconhecido,,-,-,ENG,,176 cm,,-,-,-,-,14-19,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-,-,-,-,-,12-20,8-16,4-10,-,7-12,15-20,-,-,-,-,-,-,-,8-13,-,-,9-15,-,12-18,-,6-14,13-19,-,-,8-14,7-13
28126238,Les,- -,-,,Carrilero,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Desconhecido,,-,-,IRL,ENG,172 cm,,-,-,-,-,-,-,7-15,-,-,-,-,8-14,-,-,-,-,-,-,-,12-18,-,-,-,-,-,5-10,2-7,6-11,10-16,-,-,-,-,-,-,-,7-15,-,-,9-14,-,9-15,11-17,-,10-16,12-18,-,-,12-18
14199915,,- -,-,,Defesa Lateral,25,22 (1),7,"6,24","0,28","2,11","0,76",36%,4,"4,39","0,20","33,97","2,11","0,90",82%,-,-,-,"0,99","8,11","1,93","0,04","0,00","1,39",61%,"3,14","11,43",7.07,Desconhecido,,-,-,BOL,ARG,169 cm,,-,-,-,-,11-16,-,4-9,-,-,-,-,2-8,-,-,-,-,-,-,-,6-12,-,-,-,-,-,6-12,3-8,4-9,13-19,-,-,-,5-10,-,-,-,10-15,-,-,8-14,-,7-13,12-18,-,12-18,8-14,-,-,5-11
13187263,,- -,-,,Extremo invertido,24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800m R$ - 8M R$,,Muito Forte,Bastante Forte,GAM,,166 cm,,-,-,1-4,1-4,13,13-16,6-9,1-3,12-15,8-11,9-13,9,8-12,2-5,11-15,1-5,11-15,8-11,10-13,6-9,9-13,11-15,1-4,10,13-16,9,10-14,4,10-13,1-3,1-3,5-9,6-9,9-13,6-10,10-13,11,3-6,6-10,12,1-5,13-16,11-14,12-15,11-14,9-12,2-6,13,11-14
19398862,,- -,-,,Extremo,23,15,4,"2,18","0,15","2,05","0,82",40%,3,"1,17","0,08","27,44","2,46","1,85",82%,-,-,-,"0,55","3,29","1,92","0,00","0,00","2,05",86%,"3,76","4,86",7.08,700m R$ - 7M R$,,Razoável,Muito Forte,BRA,,178 cm,Equilibrado,-,-,1-2,3-5,12,13,9,1,10-13,12,12,7,5-7,1-3,12,1-2,10-12,11,10,5-7,13,11,2-4,12,13,10,13,7,12,1-2,1-2,5-7,9,7-10,5-7,11,13,1-3,6-9,13,1-4,9,13,13,13,10,1-2,13,12
62182264,,- -,-,,Extremo invertido,25,8,0,"1,54","0,25","1,77","0,48",27%,1,"0,77","0,12","26,04","1,29","1,12",86%,-,-,-,"0,32","6,43","3,54","0,16","0,00","2,73",89%,"5,14","4,66",6.78,300m R$ - 36M R$,,Bastante Forte,Muito Forte,SRB,,179 cm,,-,-,1-4,2-5,14,14-17,10-13,1-3,14-17,7-10,9-13,6,12-16,1-4,9-13,1-2,9-13,9-12,10-13,6-9,9-13,8-12,1-4,11,15-18,7,15-19,8,10-13,1-3,1-4,2-6,5-8,11-15,4-8,13-16,12,1-4,7-11,13,1-4,12-15,9-12,11-14,13-16,9-12,1-5,15,11-14
2000125958,Emp,- -,-,,Construtor de Jogo Recuado,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40M R$ - 62M R$,,Fraco,Muito Forte,ESP,,181 cm,,-,-,1-4,1-3,12-16,10-16,13-17,1-4,10-16,15-19,8-12,5-9,7-11,1-4,11-16,1-6,9-13,10-14,9-14,12,14-19,9-13,1-2,7-11,9-15,10,14,9-13,9-14,3-7,3-8,7-12,5-9,7-11,6-10,3-9,15,1-6,9-13,15,1-2,10-15,7-12,8-14,11-16,12-16,1,11-15,14
47094679,,- -,-,,Extremo,24,1 (3),1,"0,73",-,-,-,50%,0,"0,00",-,-,-,-,79%,-,-,-,-,-,-,-,-,-,100%,-,-,6.85,70m R$ - 650m R$,,Razoável,Muito Forte,COL,,178 cm,,-,-,1-4,1-2,13,10-14,6-9,1-4,10-14,12-15,6-9,14,3-6,1-4,9-13,2-6,6-9,10-13,7-11,5-8,10-14,6-9,1,9-12,9-13,8-12,5-8,12,8-12,2-5,1-4,5-9,8-11,7-10,3-6,6-10,9-12,1-3,10-13,9-13,1-3,4-8,10-14,10-14,7-11,10-13,1,12-15,8-11
49060523,,- -,-,,Médio Centro,20,7 (4),2,"1,68","0,26","2,16","0,77",36%,0,"2,33","0,36","37,76","3,08","2,16",85%,-,-,-,"0,31","3,08","1,54","0,00","0,00","2,00",68%,"3,85","10,79",6.89,41M R$ - 54M R$,,Fraco,Muito Forte,FRA,ALG,183 cm,,-,-,-,-,8-15,11-18,6-13,-,11-18,9-16,7-12,10-15,9-14,-,9-14,-,10-15,4-11,10-16,11-16,14-19,6-11,-,7-12,10-17,9-14,12-17,10-15,10-16,-,-,2-7,3-10,6-11,6-11,-,8-15,-,7-12,10-15,-,8-14,10-16,11-18,10-16,12-17,-,14-19,14-19
2000146950,Emp,- -,-,,Extremo invertido,18,0 (1),0,"0,00",-,-,-,-,0,"0,00",-,-,-,-,83%,-,-,-,-,-,-,-,-,-,-,-,-,-,Desconhecido,,-,-,ITA,GER,187 cm,,-,-,-,-,-,-,4-11,-,-,-,-,5-11,-,-,-,-,-,-,-,6-12,-,-,-,-,-,2-11,3-12,8-17,11-17,-,-,-,-,-,-,-,7-14,-,-,5-14,-,9-15,7-13,-,11-17,11-17,-,-,8-14
19337951,Prt,- -,-,,Médio Recuperador de Bolas,22,39 (8),2,"1,67","0,04","0,44","0,23",53%,7,"3,68","0,10","49,10","4,67","1,17",87%,-,-,-,"0,05","0,70","1,09","0,00","0,03","1,50",64%,"4,67","12,86",6.83,"4,75M R$ - 27M R$",,Razoável,Muito Forte,BRA,,178 cm,Equilibrado,-,-,3-5,1-2,14,13,13,1-3,12-15,13,13,10,10-12,1-3,12-14,1-3,11-13,10,12-14,13,12,12,1-2,10,12,11,5,9,14,1-3,1-3,7-9,12,5-7,12-14,10-13,13,1-4,11,12,1-2,10,13,12-15,12,14,2-4,13,12
2000207297,,- -,-,,Médio Centro,21,25 (1),1,"1,23","0,06","0,56","0,19",33%,5,"4,21","0,20","37,54","3,51","1,78",81%,-,-,-,"0,05","0,80","0,89","0,23","0,09","1,64",71%,"3,79","14,51",7.02,"1,5M R$ - 4,5M R$",,Muito Forte,Fraco,BRA,,186 cm,Bastante Determinado,-,-,1-3,1-3,14,11,8,1-4,11-13,13,7,8,6-8,1-3,10-12,2-4,7-9,7,12-14,13,17,6,1-2,3,6,11,5,11,13,1-3,2-4,3-5,8,5-8,8-10,1-2,13,1-3,12,14,1-2,14,11,8-10,14,9,1-2,13,11
43500510,Prt,- -,-,,Mezzala,20,0 (4),0,"0,00",-,-,-,-,0,"0,00",-,-,-,-,100%,-,-,-,-,-,-,-,-,-,-,-,-,6.50,48M R$ - 76M R$,,Bastante Forte,Muito Forte,ITA,,180 cm,,-,-,1-3,2-7,10-16,11-15,10-16,1-2,9-13,9-15,12-16,3-8,13-17,1-6,7-11,1,12-16,8-14,11-16,11,12-16,13-17,2-6,8-12,11-15,12,12,9-13,14-19,1-4,1-3,4-8,11-17,10-14,10-14,9-13,13,1-4,11-15,13,1-5,9-14,13-18,10-14,13-18,9-14,3-7,8-13,13
14129338,Dsc,- -,-,,Construtor de Jogo Avançado,25,13 (17),2,"3,15","0,21","2,42","0,94",39%,3,"2,31","0,16","33,83","2,62","3,30",84%,-,-,-,"0,13","1,08","1,35","0,00","0,00","2,35",85%,"4,98","12,38",6.86,950m R$ - 10M R$,,Muito Forte,Razoável,USA,ARG,171 cm,,-,-,1-4,1-4,13-16,10-14,13-16,2-5,10-14,14-17,7-10,10-13,8-11,1-3,13-17,1-4,11-14,12-15,10-14,12,15-19,9-12,1,9-12,11-15,11,16,5-8,12,3-6,1-5,12-16,7-10,13-16,9-12,5-9,13,1-3,9-12,13,1-2,15,9-13,12-16,10-14,14-17,1-2,11-14,12
14183208,,- -,-,,Médio Ofensivo,23,20 (9),6,"5,14","0,27","2,15","1,05",49%,1,"3,32","0,17","30,05","2,52","1,52",82%,-,-,-,"0,11","1,94","2,78","0,00","0,05","2,57",86%,"4,94","8,98",7.00,"1,9M R$ - 19M R$",,Razoável,Muito Forte,ARG,,172 cm,,-,-,1-3,3-6,13,10-14,9-12,1,13-17,14-17,9-13,8,9-12,3-6,10-14,1-3,5-8,8-11,16-19,8-11,9-13,5-9,1-3,11,10-14,6,13-16,7,12-15,2-5,2-6,5-9,9-12,10-14,3-6,4-8,12,1-2,6-10,13,1-5,11-14,12-15,10-14,14-17,9-12,1-4,12,10-13
2000014409,,- -,-,,Extremo,20,3 (5),1,"1,70","0,38","2,23","0,89",40%,0,"0,37","0,08","26,29","0,89","0,67",88%,-,-,-,"0,00","1,34","2,45","0,00","0,00","2,45",85%,"4,01","2,45",6.82,33M R$ - 40M R$,,Razoável,Muito Forte,BRA,,180 cm,Equilibrado,-,-,2-5,1-3,14,13-17,10,1-4,11-15,11,10,10,6-9,1-5,13,1-3,11-14,8,13,8-11,14,12,1-3,12,12,8,12,10,11,1-2,1-3,4-7,4-8,6-9,5-8,11,11,1-4,3-6,12,1-3,8,13,13,12,9,1-4,13,9
19409291,Les,- -,-,,Construtor de Jogo Avançado,22,24 (8),1,"3,46","0,16","0,90","0,40",45%,2,"1,54","0,07","40,04","2,78","0,94",83%,-,-,-,"0,09","0,54","1,17","0,04","0,00","1,43",73%,"3,99","10,09",6.80,500m R$ - 5M R$,,Muito Forte,Bastante Forte,BRA,,175 cm,Equilibrado,-,-,1-3,1-2,13,12-14,10,1-4,10-12,9,13,8,9-11,1-3,13,1-3,10-12,11,11,6-9,10,10,1-2,11,13,10,14,8,12,1-3,2-4,6-8,4-6,6-9,5-7,9,13,1-3,6-9,13,1-4,12,12,10,13,12,2-4,13,12
19249721,Trn,- -,-,,Médio Centro,25,4 (7),1,"0,44","0,09","1,98","0,59",30%,1,"0,23","0,05","54,99","5,54","0,99",86%,-,-,-,"0,59","1,38","0,59","0,40","0,00","1,19",75%,"3,96","11,67",6.83,19M R$ - 36M R$,,Fraco,Muito Forte,BRA,,183 cm,Equilibrado,-,-,2-5,1-3,13,13,12,2-5,11-13,12,13,10,10-12,1-3,13,1-2,13-15,10,13-16,12,14,11,4-6,10,12,12,12,11,13,1-2,1,6-8,8,12-14,13-15,11-13,14,3-5,13,13,2-4,12,12,11,13,12,1-3,13,13
14192808,Ped,- -,-,,Médio Centro,25,2 (10),2,"1,18","0,29","1,69","0,97",57%,1,"0,89","0,22","33,87","3,87","1,45",79%,-,-,-,"0,24","3,15","2,18","0,00","0,00","2,18",90%,"5,32","10,65",6.84,3M R$ - 29M R$,,Razoável,Muito Forte,ARG,ITA,178 cm,,-,-,1-3,1-3,8-11,12-15,9-12,1-3,14-17,10-13,9-13,6-9,9-13,2-5,8-12,1-2,12-16,7-10,12-15,9,4-8,9-13,1-4,9-13,12-15,12,12,8-12,15,1-3,1-3,8-12,6-9,8-12,8-12,7-10,13,2-5,11-15,13,1-5,12,11-14,14-17,12-15,11-14,1-4,8-11,13
29218480,,- -,-,,Construtor de Jogo Recuado,21,9,0,"0,65","0,09","0,68","0,14",20%,2,"0,79","0,11","47,81","4,38","0,96",86%,-,-,-,"0,14","0,27","0,41","0,00","0,00","1,10",73%,"2,88","7,53",6.86,Desconhecido,,-,-,ENG,,178 cm,,-,-,-,-,-,-,6-14,-,-,-,-,3-9,-,-,-,-,-,-,-,5-11,-,-,-,-,-,9-14,6-14,1-8,10-15,-,-,-,-,-,-,-,12-20,-,-,10-15,-,6-11,12-17,-,10-15,11-17,-,-,9-15
37076293,,- -,-,,Construtor de Jogo Recuado,23,0 (1),0,"0,00",-,-,-,-,0,"0,00",-,-,-,-,83%,-,-,-,-,-,-,-,-,-,0%,-,-,6.40,"1,3M R$ - 4M R$",,Razoável,Muito Forte,NGA,NED,175 cm,,-,-,1-3,1-2,7-11,8-11,15-19,2-6,11-14,12-16,10-13,9,6-10,1-4,10-13,2-5,2-6,10-14,13-16,8,11-14,13-16,1-4,9-12,7-10,11-14,2-6,8,9-12,2-6,2-5,2-5,5-9,9-12,7-11,4-7,13-17,1-3,11-14,12-15,4-7,8-11,10-13,6-9,9-12,10-14,1-4,8-12,9-13
13211267,,- -,-,,Extremo invertido,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Desconhecido,,-,-,GHA,,179 cm,,-,-,-,-,12-18,-,-,-,-,-,-,3-12,-,-,-,-,-,-,-,-,-,-,-,3-12,12-18,11-18,-,2-10,1-7,-,-,-,-,-,-,-,9-15,-,-,12-19,-,5-12,-,6-12,7-14,-,-,12-20,11-20
52101143,,- -,-,,Extremo invertido,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Desconhecido,,-,-,IRL,,171 cm,,-,-,-,-,11-17,-,-,-,-,-,-,7-16,-,-,-,-,-,-,-,-,-,-,-,4-13,12-18,7-14,-,4-12,5-12,-,-,-,-,-,-,-,8-14,-,-,11-18,-,4-11,-,10-16,5-12,-,-,12-20,10-19
37072840,,- -,-,,Extremo invertido,20,0 (2),0,"0,30",-,-,-,100%,0,"0,00",-,-,-,-,83%,-,-,-,-,-,-,-,-,-,-,-,-,6.40,"1,5M R$ - 15M R$",,Fraco,Muito Forte,NED,GUI,179 cm,,-,-,1-2,3-7,15,9-14,12-16,1,6-11,11-15,11-16,9,7-11,2-6,8-14,1-4,7-11,9-13,15-19,1-4,8-14,10-15,1-4,10-15,9-14,12,11-15,10,13-17,2-6,1-7,7-13,7-11,9-14,2-6,9-14,6-10,1-4,4-9,12,1-5,10-14,11-15,7-12,11-15,7-11,1-2,14,4-8
79031030,Prt,- -,-,,Extremo invertido,23,17 (1),1,"2,33","0,19","2,21","0,74",33%,0,"2,07","0,17","25,85","1,23","1,31",84%,-,-,-,"0,41","3,19","3,85","0,00","0,00","3,60",88%,"5,89","5,97",6.86,3M R$ - 30M R$,,Bastante Forte,Muito Forte,PAR,,175 cm,,-,-,1-2,1-3,13,13-15,7-9,1-3,12-14,11-13,10-12,9,4-6,1-4,13-16,1-4,10-12,10-12,11-14,5-7,2-5,11-13,1-3,14,14-16,12,12-14,7,10-13,3-5,1-4,3-6,8-10,9-11,2-4,10-12,13,1-3,9-11,15,1-3,15,9-12,13,14,13-15,1-2,12,12-14
37064566,,- -,-,,Extremo invertido,24,0 (5),0,"0,18","0,10","1,61","1,07",67%,1,"0,04","0,02","21,43","4,29","1,61",83%,-,-,-,"0,00","4,29","3,21","0,54","0,00","2,68",83%,"6,43","7,50",7.20,900m R$ - 9M R$,,Fraco,Muito Forte,NED,,179 cm,,-,-,1,3-6,12,9-13,8-11,1-2,10-14,11-14,12-16,11,8-11,3-6,11-15,1-4,10-13,10-13,13-16,2-5,9-13,12-16,1-4,11,7-11,9,8-11,12,15-18,2-5,1-4,2-6,9-12,11-15,3-6,11-15,13,1-3,6-10,12,1-5,11-14,13-16,11-15,11-14,10-13,1-2,11,8-11
